cache_write_or_creation_tokens,cached_or_cache_read_tokens,duration_ms_capped,duration_was_capped,hour,input_tokens,metric,model,output_tokens,period,records,system
0,0,,,9,0,usage_record,<synthetic>,0,day_06_18,1,claude
0,0,,,11,0,usage_record,<synthetic>,0,day_06_18,1,claude
0,0,,,12,0,usage_record,<synthetic>,0,day_06_18,1,claude
0,0,,,13,0,usage_record,<synthetic>,0,day_06_18,4,claude
0,0,,,15,0,usage_record,<synthetic>,0,day_06_18,1,claude
0,0,,,16,0,usage_record,<synthetic>,0,day_06_18,3,claude
0,0,,,17,0,usage_record,<synthetic>,0,day_06_18,1,claude
22853,5948794,,,6,308,usage_record,claude-fable-5-1,7097,day_06_18,14,claude
31901,12228585,,,7,692,usage_record,claude-fable-5-1,19829,day_06_18,27,claude
794870,53568588,,,8,3468,usage_record,claude-fable-5-1,110874,day_06_18,147,claude
1694724,80752753,,,9,3994,usage_record,claude-fable-5-1,143944,day_06_18,196,claude
649643,66847852,,,10,2924,usage_record,claude-fable-5-1,76238,day_06_18,126,claude
2601098,94046222,,,11,6502,usage_record,claude-fable-5-1,289588,day_06_18,337,claude
837165,60889185,,,12,5238,usage_record,claude-fable-5-1,213203,day_06_18,260,claude
1291003,72468335,,,13,5124,usage_record,claude-fable-5-1,172589,day_06_18,287,claude
948735,92128667,,,14,6940,usage_record,claude-fable-5-1,263807,day_06_18,371,claude
516092,39785949,,,15,4124,usage_record,claude-fable-5-1,154292,day_06_18,203,claude
1745819,39758992,,,16,3806,usage_record,claude-fable-5-1,173553,day_06_18,210,claude
216228,16120852,,,17,1684,usage_record,claude-fable-5-1,68289,day_06_18,94,claude
811014,7622947,,,0,342,usage_record,claude-fable-5-1,8164,night_18_06,18,claude
226172,10447280,,,1,558,usage_record,claude-fable-5-1,31196,night_18_06,32,claude
307679,29094135,,,2,2452,usage_record,claude-fable-5-1,57684,night_18_06,100,claude
1032209,12720642,,,3,878,usage_record,claude-fable-5-1,20648,night_18_06,42,claude
19739,9668215,,,4,580,usage_record,claude-fable-5-1,9075,night_18_06,26,claude
424848,9972338,,,5,606,usage_record,claude-fable-5-1,17025,night_18_06,26,claude
449426,15065785,,,18,1482,usage_record,claude-fable-5-1,43566,night_18_06,74,claude
188961,1582393,,,19,436,usage_record,claude-fable-5-1,8915,night_18_06,22,claude
376455,24218373,,,20,2148,usage_record,claude-fable-5-1,59274,night_18_06,112,claude
477191,39250332,,,21,2106,usage_record,claude-fable-5-1,69242,night_18_06,116,claude
150294,9480613,,,22,712,usage_record,claude-fable-5-1,37855,night_18_06,34,claude
294452,16796402,,,23,1472,usage_record,claude-fable-5-1,71353,night_18_06,64,claude
82449,424205,,,6,134,usage_record,claude-haiku-4-5-20251001,12982,day_06_18,16,claude
61874,232875,,,7,84,usage_record,claude-haiku-4-5-20251001,5821,day_06_18,10,claude
114854,621389,,,8,184,usage_record,claude-haiku-4-5-20251001,18205,day_06_18,22,claude
307563,3887235,,,9,949,usage_record,claude-haiku-4-5-20251001,73960,day_06_18,116,claude
283244,2884055,,,10,689,usage_record,claude-haiku-4-5-20251001,63755,day_06_18,84,claude
1016830,12296352,,,11,2989,usage_record,claude-haiku-4-5-20251001,196262,day_06_18,364,claude
827425,13881064,,,12,3050,usage_record,claude-haiku-4-5-20251001,193872,day_06_18,372,claude
766036,11825966,,,13,3044,usage_record,claude-haiku-4-5-20251001,171914,day_06_18,367,claude
1020775,15078463,,,14,4218,usage_record,claude-haiku-4-5-20251001,187161,day_06_18,512,claude
766863,11660885,,,15,3304,usage_record,claude-haiku-4-5-20251001,157690,day_06_18,397,claude
806976,21700756,,,16,4511,usage_record,claude-haiku-4-5-20251001,248200,day_06_18,549,claude
390289,8820167,,,17,1787,usage_record,claude-haiku-4-5-20251001,100466,day_06_18,220,claude
73135,266688,,,0,105,usage_record,claude-haiku-4-5-20251001,8045,night_18_06,12,claude
92202,586056,,,1,185,usage_record,claude-haiku-4-5-20251001,6390,night_18_06,22,claude
139109,2289092,,,2,518,usage_record,claude-haiku-4-5-20251001,29023,night_18_06,61,claude
91247,524550,,,3,238,usage_record,claude-haiku-4-5-20251001,9828,night_18_06,27,claude
102283,454007,,,4,244,usage_record,claude-haiku-4-5-20251001,11884,night_18_06,27,claude
96020,753394,,,5,236,usage_record,claude-haiku-4-5-20251001,17885,night_18_06,28,claude
135895,3773075,,,18,749,usage_record,claude-haiku-4-5-20251001,59159,night_18_06,92,claude
29539,55610,,,20,26,usage_record,claude-haiku-4-5-20251001,1629,night_18_06,3,claude
206151,1730039,,,21,485,usage_record,claude-haiku-4-5-20251001,28843,night_18_06,58,claude
116327,955217,,,22,277,usage_record,claude-haiku-4-5-20251001,23914,night_18_06,33,claude
161305,816425,,,23,285,usage_record,claude-haiku-4-5-20251001,15861,night_18_06,33,claude
250336,17628239,,,8,206,usage_record,claude-opus-4-6,63824,day_06_18,160,claude
548067,8592238,,,9,77,usage_record,claude-opus-4-6,36384,day_06_18,47,claude
