flow_id,scope,aspect,tier,name,pane_id,terminal_id,route,harness,native_thread,model_observed,model_receipt,effort,effort_evidence,terminal_activity,actual_task,availability,context_tokens_proxy,context_window_tokens,context_pct_proxy,context_quality,usage_scope,last_input_tokens,last_cache_read_tokens,last_cache_creation_tokens,last_output_tokens,event_at,event_age_minutes,context_errors
0ab019,retained-or-unmatched,,,mind-astra-of-893603,wC:p1,term_65bc6d207da1421,exact,codex,,,,,,done,unknown,unknown,,,,unknown,,,,,,,,0
1b8ac0,current,Psyche,high,flow-1b8ac0,wD:p6,term_65bed874b483038,exact,claude,1b8ac00b-6c92-47d2-9d50-47d9428c0956,claude-fable-5-1,claude-fable-5-1[1m],medium,same-native resume receipt,idle,unknown,unknown,380060,,,proxy,last-request,2,379733,325,121,2026-09-21T20:26:28.199Z,37.5,0
b80e55,current,Psyche,medium,flow-b80e55,wD:p5,term_65bf0b4f0b7cf45,exact,claude,b80e5510-ebe7-436e-9259-2a47735f232d,claude-opus-4-6,claude-opus-4-6[1m],medium,same-native resume receipt,done,unknown,unknown,247178,,,proxy,last-request,1,246813,364,300,2026-09-21T19:55:41.542Z,68.3,0
0625c3,current,Psyche,low,flow-0625c3,wD:p7,term_65bedce5d2b213a,exact,claude,0625c31b-798d-44f7-a116-44a7966fe618,claude-sonnet-5,claude-sonnet-5,medium,same-native resume receipt,done,unknown,unknown,533277,,,proxy,last-request,2,532435,840,400,2026-09-21T20:14:47.829Z,49.2,0
,retained-or-unmatched,,,psyche-haiku-of-b80e55,wD:p8,term_65c0377a0776b56,unmatched,claude,,,,,,done,unknown,unknown,,,,unknown,,,,,,,,0
,retained-or-unmatched,,,field-high,wJ:p1,term_65bdaf8918c852e,unmatched,codex,,,,,,idle,unknown,unknown,,,,unknown,,,,,,,,0
98ac2e,retained-or-unmatched,,,mind-astra-of-0ab019,wK:p1,term_65be107ba098b31,exact,codex,01a0bcaa-6dcb-7c93-a9e2-49f98ac2e0e5,gpt-6-astra,,,,idle,unknown,unknown,116704,258400,45,proxy,thread-cumulative,116704,116352,,55,2026-09-20T04:04:12.512Z,2459.8,0
6db4fe,retained-or-unmatched,,,flow-6db4fe,wK:p2,term_65bfeca6eacd64f,exact,codex,01a0c44c-784a-7fc1-bd0a-65c6db4fe4f8,gpt-6-astra,,,,working,unknown,unknown,121683,258400,47,proxy,thread-cumulative,121683,120192,,300,2026-09-21T21:03:56.676Z,0.0,0
9e7ea5,retained-or-unmatched,,,mind-astra-of-98ac2e,wK:p3,term_65be21c518a7932,exact,codex,01a0bcea-a838-7421-ab1d-43c9e7ea522d,gpt-6-astra,,,,idle,unknown,unknown,121255,258400,47,proxy,thread-cumulative,121255,120448,,79,2026-09-20T22:04:15.882Z,1379.7,0
4b0f60,current,Mind,high,flow-4b0f60,wM:p4,term_65bf1376e9a6049,exact,codex,01a0c0d3-2fc6-7660-ba29-cd64b0f60e7d,gpt-6-astra,,medium,shadow-roster declaration,done,unknown,unknown,194766,258400,75,proxy,thread-cumulative,194766,194176,,84,2026-09-21T20:10:51.675Z,53.1,0
2c61af,current,Mind,medium,flow-2c61af,wM:p6,term_65bffdf50723a52,exact,codex,01a0c492-7939-7081-82d7-a512c61af5e0,gpt-5.6-sol,,medium,shadow-roster declaration,done,unknown,unknown,85259,258400,33,proxy,thread-cumulative,85259,84608,,226,2026-09-21T20:24:26.471Z,39.5,0
e798f3,current,Mind,low,flow-e798f3,wM:p2,term_65bf0d2abc3af47,exact,codex,01a0c0be-910a-7ea2-a956-1b4e798f39f3,gpt-5.6-terra,,medium,shadow-roster declaration,done,unknown,unknown,153597,258400,59,proxy,thread-cumulative,153597,152320,,406,2026-09-21T20:18:56.251Z,45.0,0
23d977,current,Mind,ultra_low,flow-23d977,wM:p3,term_65bf0ee9b7c1d48,exact,codex,01a0c0c0-3c39-77b3-a25f-51623d97706d,gpt-5.6-luna,,medium,shadow-roster declaration,done,unknown,unknown,85187,258400,33,proxy,thread-cumulative,85187,81664,,888,2026-09-21T19:54:24.408Z,69.6,0
03e825,current,Field,high,flow-03e825,wQ:p9,term_65c003095a6af53,exact,codex,01a0c4a7-2590-7ae3-8625-bee03e82586d,gpt-6-astra,,medium,shadow-roster declaration,done,unknown,unknown,153664,258400,59,proxy,thread-cumulative,153664,153344,,18,2026-09-21T20:49:01.488Z,14.9,0
753e69,current,Field,medium,flow-753e69,wQ:pA,term_65c0046ddcf0a54,exact,codex,01a0c4ad-12bd-74c2-9c21-7a4753e69b3d,gpt-5.6-sol,,medium,shadow-roster declaration,working,unknown,unknown,80332,258400,31,proxy,thread-cumulative,80332,74240,,174,2026-09-21T21:03:54.228Z,0.1,0
