repo	expected	actual	result
nota	ce7c564de0a0518eaa1938d55dccc460a67cadb4	ce7c564de0a0518eaa1938d55dccc460a67cadb4	clean-skip
schema	f351f90d3b8898205cf3057f3c253a5e451180a9	f351f90d3b8898205cf3057f3c253a5e451180a9	clean-skip
schema-rust	0f306826f64622b375ad232f0a59d32904487b9d	0f306826f64622b375ad232f0a59d32904487b9d	match
agent	682d00b16f66099c521c37d5d5927f46bcd3d743	682d00b16f66099c521c37d5d5927f46bcd3d743	match
chroma	29a510e300a5db2430182bc170a57b037d2bbaf8	29a510e300a5db2430182bc170a57b037d2bbaf8	clean-skip
chronos	2a091f6b65b243d9e499b33d2f7244be184096a8	2a091f6b65b243d9e499b33d2f7244be184096a8	clean-skip
claude-answers	f9370e715a7ca6bcb9a7b36d6f3abbd78158acbe	f9370e715a7ca6bcb9a7b36d6f3abbd78158acbe	clean-skip
clavifaber	53ca5e8df6f9db9e509e7109c98ce740c30359a7	53ca5e8df6f9db9e509e7109c98ce740c30359a7	clean-skip
cloud	ca7463d834404c6539151148aeed7fe25379062b	ca7463d834404c6539151148aeed7fe25379062b	match
criome	439f240495a6d0f142dc4b4103a9a6d077a4e23b	439f240495a6d0f142dc4b4103a9a6d077a4e23b	match
CriomOS	c2ee27204c024a7e62025e61d788aa6c7c5b831d	c2ee27204c024a7e62025e61d788aa6c7c5b831d	clean-skip
CriomOS-home	230777740242eb0b7766aa56a7104c3cd6153c0c	230777740242eb0b7766aa56a7104c3cd6153c0c	clean-skip
domain-criome	9cb7d65657cd45660d5898f0392379079dfd7eac	9cb7d65657cd45660d5898f0392379079dfd7eac	match
harness	af46be93f3d27b8866862156ecec23965fe24a0b	af46be93f3d27b8866862156ecec23965fe24a0b	match
horizon-rs	1f75fa81dcc43a915392cad14595717d1d71d8c9	1f75fa81dcc43a915392cad14595717d1d71d8c9	clean-skip
introspect	1478e45f15113ed8a9c70d24c3b9fbea6df9f46e	1478e45f15113ed8a9c70d24c3b9fbea6df9f46e	match
listener	71ed53003d368b5eef59eb00879f71b8756da947	71ed53003d368b5eef59eb00879f71b8756da947	match
lojix	fdd456b1deee12841a1507bb9caf187cfb019f44	fdd456b1deee12841a1507bb9caf187cfb019f44	match
mentci	dfb073069e45597e47ddc507198924f5a7952512	dfb073069e45597e47ddc507198924f5a7952512	match
mentci-egui	9aed2859d3564b73b3b63df4b6748a0546f51840	9aed2859d3564b73b3b63df4b6748a0546f51840	match
