repo	main	drop_next	state
nota	ce7c564de0a0518eaa1938d55dccc460a67cadb4		no-drop-next
schema	f351f90d3b8898205cf3057f3c253a5e451180a9	f351f90d3b8898205cf3057f3c253a5e451180a9	landed
schema-rust	b73eb39d4316f9811e87bbdef73530a568942cda	b73eb39d4316f9811e87bbdef73530a568942cda	landed
agent	1ff5e499c1f5433069ec781744b40db6a699d46c	1ff5e499c1f5433069ec781744b40db6a699d46c	landed
chroma	29a510e300a5db2430182bc170a57b037d2bbaf8	29a510e300a5db2430182bc170a57b037d2bbaf8	landed
chronos	2a091f6b65b243d9e499b33d2f7244be184096a8	2a091f6b65b243d9e499b33d2f7244be184096a8	landed
claude-answers	f9370e715a7ca6bcb9a7b36d6f3abbd78158acbe	f9370e715a7ca6bcb9a7b36d6f3abbd78158acbe	landed
clavifaber	53ca5e8df6f9db9e509e7109c98ce740c30359a7	53ca5e8df6f9db9e509e7109c98ce740c30359a7	landed
cloud	64ef285f2da07e74d2e76f45932bd8fad0ccc3d9	64ef285f2da07e74d2e76f45932bd8fad0ccc3d9	landed
criome	95c70e014b60526e72b52e947134a2ff6f5b3d25	95c70e014b60526e72b52e947134a2ff6f5b3d25	landed
CriomOS	c2ee27204c024a7e62025e61d788aa6c7c5b831d	c2ee27204c024a7e62025e61d788aa6c7c5b831d	landed
CriomOS-home	230777740242eb0b7766aa56a7104c3cd6153c0c	230777740242eb0b7766aa56a7104c3cd6153c0c	landed
domain-criome	c0c4f7b267a6bff0b7c0fb3375150827203cc3ec	c0c4f7b267a6bff0b7c0fb3375150827203cc3ec	landed
harness	f650d99c845511decb6d43dca3ef6efbee9a24c7	f650d99c845511decb6d43dca3ef6efbee9a24c7	landed
horizon-rs	1f75fa81dcc43a915392cad14595717d1d71d8c9	1f75fa81dcc43a915392cad14595717d1d71d8c9	landed
introspect	4b18d35c40946e390c531ebd216499e7d5306757	4b18d35c40946e390c531ebd216499e7d5306757	landed
listener	3d4aab551e0bd8d154315341d3a1a03e6f9a6fbb	3d4aab551e0bd8d154315341d3a1a03e6f9a6fbb	landed
lojix	f0c26a5431ae21b6b670d1c79f000e4a10a2ccf0	f0c26a5431ae21b6b670d1c79f000e4a10a2ccf0	landed
mentci	311be2833e57bd7d409a721d3927daf40937da8b	311be2833e57bd7d409a721d3927daf40937da8b	landed
mentci-egui	93292523b8b41880372f6236e3cbb7064a85799f	93292523b8b41880372f6236e3cbb7064a85799f	landed
mentci-lib	921911295e645dda0ae3e8588c951e88a698a831	921911295e645dda0ae3e8588c951e88a698a831	landed
message	687d472d80480d4ef0e3736ec495a96a6a370fbe	687d472d80480d4ef0e3736ec495a96a6a370fbe	landed
meta-signal-agent	afd16221a8fe16ddb81025d86f3b8776fbdadf4d	afd16221a8fe16ddb81025d86f3b8776fbdadf4d	landed
meta-signal-cloud	282383fca310b4cd29a32c933b955cc9d7dd507e	282383fca310b4cd29a32c933b955cc9d7dd507e	landed
meta-signal-criome	45ce27cb907483dfcb76d0cf2b5667524afcab69	45ce27cb907483dfcb76d0cf2b5667524afcab69	landed
meta-signal-domain-criome	6538e6f998c708a6f463e6e734dc405bec22f48e	6538e6f998c708a6f463e6e734dc405bec22f48e	landed
meta-signal-harness	e52dbfb13560bb42f085b86accafb7e20dcc4e7c	e52dbfb13560bb42f085b86accafb7e20dcc4e7c	landed
meta-signal-introspect	3e0393a1bde3c97ccd77d621ce2ddc71892fe01e	3e0393a1bde3c97ccd77d621ce2ddc71892fe01e	landed
meta-signal-listener	e815e19769afdccd6635eda99b4d139ead164d5b	e815e19769afdccd6635eda99b4d139ead164d5b	landed
meta-signal-lojix	2657286777868238aed7567a0b02bbb991272162	2657286777868238aed7567a0b02bbb991272162	landed
meta-signal-mentci	da474387512bda773ab4342f22e6e113fd59bc8a	da474387512bda773ab4342f22e6e113fd59bc8a	landed
meta-signal-mentci-client	e8da017d9372bd0316ec10d95b0f245007130f87	e8da017d9372bd0316ec10d95b0f245007130f87	landed
meta-signal-message	c41a8b9efe133d8bdddb2f4663573e116a74a1de	c41a8b9efe133d8bdddb2f4663573e116a74a1de	landed
meta-signal-mind	e847c129f41cb0aafb443a47c75e6dbc6fd718a0	e847c129f41cb0aafb443a47c75e6dbc6fd718a0	landed
meta-signal-mirror	9a77f97f4afd9a2c50bca71f0de0fcf590ad7570	9a77f97f4afd9a2c50bca71f0de0fcf590ad7570	landed
meta-signal-orchestrate	9cefaafa017dddbdfa8c78bc16cd6c2a23b196c8	9cefaafa017dddbdfa8c78bc16cd6c2a23b196c8	landed
meta-signal-persona	ce4094922035db034b23d0c1311b9a525b54200a	ce4094922035db034b23d0c1311b9a525b54200a	landed
meta-signal-repository-ledger	d6e472dfcd6b08ae83f896d035bcb102672e0f39	d6e472dfcd6b08ae83f896d035bcb102672e0f39	landed
meta-signal-router	50634d9ec5ec286e4b9b7d269c499724b0fcaab5	50634d9ec5ec286e4b9b7d269c499724b0fcaab5	landed
meta-signal-spirit	5a64d546688788048a4887a2680f46428317e1ac	5a64d546688788048a4887a2680f46428317e1ac	landed
meta-signal-system	671c15f3e9b22d6bdef4153decd94e8cee261e28	671c15f3e9b22d6bdef4153decd94e8cee261e28	landed
meta-signal-terminal	17dafd4a9e941b5e38e531202b7b4f5af7e74a89	17dafd4a9e941b5e38e531202b7b4f5af7e74a89	landed
meta-signal-upgrade	4e0435755499b9617f198ee79aa4f80c1c576bd9	4e0435755499b9617f198ee79aa4f80c1c576bd9	landed
meta-signal-version-handover	72b8d3abeb455ce12b94e8bcff085c5a619e2b93	72b8d3abeb455ce12b94e8bcff085c5a619e2b93	landed
mind	ca7c2e7fa41ecdc679b523fbadedc1a0dc095188	ca7c2e7fa41ecdc679b523fbadedc1a0dc095188	landed
mirror	40a4091ec0ce090d71e7e1ea496df84a64cf929f	40a4091ec0ce090d71e7e1ea496df84a64cf929f	landed
nexus	290de15ee14ac14444e80022c96501e499e252dc	290de15ee14ac14444e80022c96501e499e252dc	landed
nota-config	88792a277d783198dcc325ef6d51ef9a1e6d64ac	88792a277d783198dcc325ef6d51ef9a1e6d64ac	landed
orchestrate	45c07de02ca9be936a902f7f57b57ff26da41fb6	45c07de02ca9be936a902f7f57b57ff26da41fb6	landed
persona	94b0f555c16e3edbac017ebb85c5af4d1cecc0af	94b0f555c16e3edbac017ebb85c5af4d1cecc0af	landed
repository-ledger	38b226b1847a7ae65de13fbc428f1fabdf714696	38b226b1847a7ae65de13fbc428f1fabdf714696	landed
router	7323fa7e8138f4d73a7e70456aeb2c6f60dc84eb	7323fa7e8138f4d73a7e70456aeb2c6f60dc84eb	landed
signal	85d9e029b39dbb491dd85dd020364e4123de948c	85d9e029b39dbb491dd85dd020364e4123de948c	landed
signal-agent	cedc8f69fb83b6983f96ec3a43e224d974bb5831	cedc8f69fb83b6983f96ec3a43e224d974bb5831	landed
signal-cloud	559e918b829c3f0da1419f945f62ca8dc5259e81	559e918b829c3f0da1419f945f62ca8dc5259e81	landed
signal-criome	228e1c9cb2c0ab5942e615f22a4e61f5ad3b3e7c	228e1c9cb2c0ab5942e615f22a4e61f5ad3b3e7c	landed
signal-domain-criome	e50b807f272fa11ce2d66f857e1bed44c8a125cd	e50b807f272fa11ce2d66f857e1bed44c8a125cd	landed
signal-frame	bb86bef67e478ff52690a4dcceec8f22d2b005ad	bb86bef67e478ff52690a4dcceec8f22d2b005ad	landed
signal-harness	4d9f5879ead06ccbf9221b0f5bef5c055b9acd9f	4d9f5879ead06ccbf9221b0f5bef5c055b9acd9f	landed
signal-introspect	afe4d50adb6c9750293aa08e609b4ecf8b71ac10	afe4d50adb6c9750293aa08e609b4ecf8b71ac10	landed
signal-listener	703a03b22e3f463c883b19fb1988ff09580207c9	703a03b22e3f463c883b19fb1988ff09580207c9	landed
signal-lojix	ee7abf4bb7d75bccf3aecf614025b9f0f3a0ae3d	ee7abf4bb7d75bccf3aecf614025b9f0f3a0ae3d	landed
signal-mentci	6d1fd4d2a5a89eaa0f3f3b7bf57473f016b737e9	6d1fd4d2a5a89eaa0f3f3b7bf57473f016b737e9	landed
signal-mentci-client	f14c8b8eb2eefdc7c33b881f164d30351857eecb	f14c8b8eb2eefdc7c33b881f164d30351857eecb	landed
signal-message	0bd080fcd739bde92dbb76b83a6084541a31675a	0bd080fcd739bde92dbb76b83a6084541a31675a	landed
signal-mind	458ad2dca2dbca8679f7d88c12f2673e462fc118	458ad2dca2dbca8679f7d88c12f2673e462fc118	landed
