repo	before	matches_before	after	result
nota	ce7c564de0a0518eaa1938d55dccc460a67cadb4	0	ce7c564de0a0518eaa1938d55dccc460a67cadb4	clean-skip
schema	f351f90d3b8898205cf3057f3c253a5e451180a9	0	f351f90d3b8898205cf3057f3c253a5e451180a9	clean-skip
schema-rust	b73eb39d4316f9811e87bbdef73530a568942cda	2	b73eb39d4316f9811e87bbdef73530a568942cda	no-diff-after-replace
agent	1ff5e499c1f5433069ec781744b40db6a699d46c	2	1ff5e499c1f5433069ec781744b40db6a699d46c	no-diff-after-replace
chroma	29a510e300a5db2430182bc170a57b037d2bbaf8	0	29a510e300a5db2430182bc170a57b037d2bbaf8	clean-skip
chronos	2a091f6b65b243d9e499b33d2f7244be184096a8	0	2a091f6b65b243d9e499b33d2f7244be184096a8	clean-skip
claude-answers	f9370e715a7ca6bcb9a7b36d6f3abbd78158acbe	0	f9370e715a7ca6bcb9a7b36d6f3abbd78158acbe	clean-skip
clavifaber	53ca5e8df6f9db9e509e7109c98ce740c30359a7	0	53ca5e8df6f9db9e509e7109c98ce740c30359a7	clean-skip
cloud	64ef285f2da07e74d2e76f45932bd8fad0ccc3d9	2	64ef285f2da07e74d2e76f45932bd8fad0ccc3d9	no-diff-after-replace
criome	95c70e014b60526e72b52e947134a2ff6f5b3d25	2	95c70e014b60526e72b52e947134a2ff6f5b3d25	no-diff-after-replace
CriomOS	c2ee27204c024a7e62025e61d788aa6c7c5b831d	0	c2ee27204c024a7e62025e61d788aa6c7c5b831d	clean-skip
CriomOS-home	230777740242eb0b7766aa56a7104c3cd6153c0c	0	230777740242eb0b7766aa56a7104c3cd6153c0c	clean-skip
domain-criome	c0c4f7b267a6bff0b7c0fb3375150827203cc3ec	2	c0c4f7b267a6bff0b7c0fb3375150827203cc3ec	no-diff-after-replace
harness	f650d99c845511decb6d43dca3ef6efbee9a24c7	2	f650d99c845511decb6d43dca3ef6efbee9a24c7	no-diff-after-replace
horizon-rs	1f75fa81dcc43a915392cad14595717d1d71d8c9	0	1f75fa81dcc43a915392cad14595717d1d71d8c9	clean-skip
introspect	4b18d35c40946e390c531ebd216499e7d5306757	2	4b18d35c40946e390c531ebd216499e7d5306757	no-diff-after-replace
listener	3d4aab551e0bd8d154315341d3a1a03e6f9a6fbb	2	3d4aab551e0bd8d154315341d3a1a03e6f9a6fbb	no-diff-after-replace
lojix	f0c26a5431ae21b6b670d1c79f000e4a10a2ccf0	2	f0c26a5431ae21b6b670d1c79f000e4a10a2ccf0	no-diff-after-replace
mentci	311be2833e57bd7d409a721d3927daf40937da8b	2	311be2833e57bd7d409a721d3927daf40937da8b	no-diff-after-replace
mentci-egui	93292523b8b41880372f6236e3cbb7064a85799f	2	93292523b8b41880372f6236e3cbb7064a85799f	no-diff-after-replace
mentci-lib	921911295e645dda0ae3e8588c951e88a698a831	2	921911295e645dda0ae3e8588c951e88a698a831	no-diff-after-replace
message	687d472d80480d4ef0e3736ec495a96a6a370fbe	2	687d472d80480d4ef0e3736ec495a96a6a370fbe	no-diff-after-replace
meta-signal-agent	afd16221a8fe16ddb81025d86f3b8776fbdadf4d	2	afd16221a8fe16ddb81025d86f3b8776fbdadf4d	no-diff-after-replace
meta-signal-cloud	282383fca310b4cd29a32c933b955cc9d7dd507e	2	282383fca310b4cd29a32c933b955cc9d7dd507e	no-diff-after-replace
meta-signal-criome	45ce27cb907483dfcb76d0cf2b5667524afcab69	2	45ce27cb907483dfcb76d0cf2b5667524afcab69	no-diff-after-replace
meta-signal-domain-criome	6538e6f998c708a6f463e6e734dc405bec22f48e	2	6538e6f998c708a6f463e6e734dc405bec22f48e	no-diff-after-replace
meta-signal-harness	e52dbfb13560bb42f085b86accafb7e20dcc4e7c	1	e52dbfb13560bb42f085b86accafb7e20dcc4e7c	no-diff-after-replace
meta-signal-introspect	3e0393a1bde3c97ccd77d621ce2ddc71892fe01e	2	3e0393a1bde3c97ccd77d621ce2ddc71892fe01e	no-diff-after-replace
meta-signal-listener	e815e19769afdccd6635eda99b4d139ead164d5b	2	e815e19769afdccd6635eda99b4d139ead164d5b	no-diff-after-replace
meta-signal-lojix	2657286777868238aed7567a0b02bbb991272162	2	2657286777868238aed7567a0b02bbb991272162	no-diff-after-replace
meta-signal-mentci	da474387512bda773ab4342f22e6e113fd59bc8a	2	da474387512bda773ab4342f22e6e113fd59bc8a	no-diff-after-replace
meta-signal-mentci-client	e8da017d9372bd0316ec10d95b0f245007130f87	2	e8da017d9372bd0316ec10d95b0f245007130f87	no-diff-after-replace
meta-signal-message	c41a8b9efe133d8bdddb2f4663573e116a74a1de	2	c41a8b9efe133d8bdddb2f4663573e116a74a1de	no-diff-after-replace
meta-signal-mind	e847c129f41cb0aafb443a47c75e6dbc6fd718a0	2	e847c129f41cb0aafb443a47c75e6dbc6fd718a0	no-diff-after-replace
meta-signal-mirror	9a77f97f4afd9a2c50bca71f0de0fcf590ad7570	2	9a77f97f4afd9a2c50bca71f0de0fcf590ad7570	no-diff-after-replace
meta-signal-orchestrate	9cefaafa017dddbdfa8c78bc16cd6c2a23b196c8	2	9cefaafa017dddbdfa8c78bc16cd6c2a23b196c8	no-diff-after-replace
meta-signal-persona	ce4094922035db034b23d0c1311b9a525b54200a	2	ce4094922035db034b23d0c1311b9a525b54200a	no-diff-after-replace
meta-signal-repository-ledger	d6e472dfcd6b08ae83f896d035bcb102672e0f39	2	d6e472dfcd6b08ae83f896d035bcb102672e0f39	no-diff-after-replace
meta-signal-router	50634d9ec5ec286e4b9b7d269c499724b0fcaab5	2	50634d9ec5ec286e4b9b7d269c499724b0fcaab5	no-diff-after-replace
meta-signal-spirit	5a64d546688788048a4887a2680f46428317e1ac	2	5a64d546688788048a4887a2680f46428317e1ac	no-diff-after-replace
meta-signal-system	671c15f3e9b22d6bdef4153decd94e8cee261e28	1	671c15f3e9b22d6bdef4153decd94e8cee261e28	no-diff-after-replace
meta-signal-terminal	17dafd4a9e941b5e38e531202b7b4f5af7e74a89	2	17dafd4a9e941b5e38e531202b7b4f5af7e74a89	no-diff-after-replace
meta-signal-upgrade	4e0435755499b9617f198ee79aa4f80c1c576bd9	2	4e0435755499b9617f198ee79aa4f80c1c576bd9	no-diff-after-replace
meta-signal-version-handover	72b8d3abeb455ce12b94e8bcff085c5a619e2b93	2	72b8d3abeb455ce12b94e8bcff085c5a619e2b93	no-diff-after-replace
mind	ca7c2e7fa41ecdc679b523fbadedc1a0dc095188	2	ca7c2e7fa41ecdc679b523fbadedc1a0dc095188	no-diff-after-replace
mirror	40a4091ec0ce090d71e7e1ea496df84a64cf929f	2	40a4091ec0ce090d71e7e1ea496df84a64cf929f	no-diff-after-replace
nexus	290de15ee14ac14444e80022c96501e499e252dc	2	290de15ee14ac14444e80022c96501e499e252dc	no-diff-after-replace
nota-config	88792a277d783198dcc325ef6d51ef9a1e6d64ac	0	88792a277d783198dcc325ef6d51ef9a1e6d64ac	clean-skip
orchestrate	45c07de02ca9be936a902f7f57b57ff26da41fb6	2	45c07de02ca9be936a902f7f57b57ff26da41fb6	no-diff-after-replace
persona	94b0f555c16e3edbac017ebb85c5af4d1cecc0af	2	94b0f555c16e3edbac017ebb85c5af4d1cecc0af	no-diff-after-replace
repository-ledger	38b226b1847a7ae65de13fbc428f1fabdf714696	2	38b226b1847a7ae65de13fbc428f1fabdf714696	no-diff-after-replace
router	7323fa7e8138f4d73a7e70456aeb2c6f60dc84eb	2	7323fa7e8138f4d73a7e70456aeb2c6f60dc84eb	no-diff-after-replace
